house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100818,2228.0,7.0,5.0,6.3,42.0,8.1,5271.0,1.0,0.0,1.0,34740679.0
104126,938.0,3.0,,,15.0,22.7,1894.0,,0.0,10.0,10994288.0
102410,904.0,2.0,2.0,8.1,28.0,,2448.0,,0.0,1.0,16285478.0
103510,1303.0,2.0,2.0,7.9,8.0,20.2,3174.0,0.0,,4.0,24681961.0
103672,2217.0,6.0,5.0,8.5,,27.5,,1.0,1.0,18.0,46450777.0
100684,1968.0,5.0,4.0,7.7,,5.2,4138.0,1.0,1.0,3.0,39209431.0
103527,1521.0,2.0,4.0,5.0,46.0,16.9,2368.0,1.0,0.0,14.0,15697373.0
103968,450.0,2.0,2.0,4.4,21.0,22.6,800.0,1.0,1.0,,4705292.0
101506,1355.0,1.0,1.0,6.2,,11.3,3497.0,0.0,0.0,3.0,21726187.0
101593,1934.0,5.0,4.0,5.6,21.0,15.9,3402.0,0.0,0.0,19.0,30425312.0
104134,2477.0,6.0,5.0,4.0,5.0,21.8,2949.0,1.0,0.0,0.0,33752157.0
102648,736.0,2.0,1.0,7.8,9.0,20.5,1367.0,1.0,0.0,6.0,13461630.0
102790,1768.0,4.0,2.0,5.2,39.0,14.3,1758.0,0.0,,18.0,21150896.0
101351,889.0,1.0,1.0,6.1,18.0,24.9,1707.0,1.0,0.0,4.0,12910406.0
102766,2183.0,,4.0,1.3,,34.3,5111.0,1.0,0.0,6.0,12632508.0
100444,1592.0,5.0,3.0,5.3,25.0,31.0,3311.0,1.0,0.0,25.0,
100585,1768.0,6.0,4.0,3.6,15.0,27.5,3225.0,1.0,0.0,15.0,18760077.0
101965,,6.0,4.0,5.0,41.0,13.7,6819.0,1.0,0.0,2.0,23334988.0
100018,1854.0,4.0,3.0,7.4,31.0,18.7,5104.0,1.0,0.0,,32072147.0
100870,2957.0,7.0,4.0,,5.0,16.5,1278.0,1.0,0.0,0.0,35828033.0
104083,2741.0,7.0,4.0,1.2,39.0,25.4,4706.0,1.0,0.0,2.0,17001840.0
101534,1554.0,3.0,2.0,7.7,22.0,20.7,2348.0,1.0,1.0,1.0,27928795.0
102184,2542.0,,3.0,4.0,27.0,16.7,3887.0,1.0,1.0,10.0,31117682.0
102003,1135.0,4.0,4.0,5.2,10.0,20.6,2789.0,1.0,1.0,7.0,15740406.0
103048,1431.0,3.0,3.0,7.9,33.0,13.5,2933.0,1.0,0.0,1.0,24394227.0
100176,2188.0,5.0,4.0,4.8,26.0,26.0,5096.0,0.0,,5.0,28092171.0
100310,1519.0,3.0,2.0,7.4,21.0,5.2,1763.0,0.0,0.0,0.0,24774237.0
103044,1796.0,3.0,3.0,2.0,9.0,28.1,4431.0,0.0,0.0,2.0,13564822.0
100872,1131.0,2.0,3.0,6.9,11.0,22.8,3198.0,0.0,0.0,8.0,18188654.0
101974,1777.0,3.0,2.0,7.0,,7.9,2747.0,1.0,0.0,8.0,31771087.0
101599,1664.0,4.0,3.0,3.9,31.0,17.0,2881.0,1.0,0.0,12.0,19324295.0
101265,1760.0,2.0,1.0,7.2,15.0,13.0,4907.0,1.0,0.0,4.0,33067661.0
103404,1586.0,,2.0,6.7,19.0,22.2,1827.0,0.0,0.0,1.0,25870849.0
104186,1884.0,3.0,2.0,8.5,10.0,1.7,4561.0,0.0,0.0,5.0,38391928.0
101534,1554.0,3.0,2.0,7.7,22.0,20.7,2348.0,1.0,1.0,,27928795.0
101930,2923.0,5.0,4.0,5.4,20.0,20.2,3251.0,1.0,,19.0,44326249.0
100756,3361.0,6.0,4.0,7.4,13.0,16.2,2233.0,1.0,0.0,11.0,61687227.0
103210,1943.0,5.0,3.0,4.1,,31.6,4337.0,0.0,0.0,17.0,23159010.0
